(-1.2, 2.3, 0.0),0.4623475
(-1.8, 2.4, 0.0),0.4415053
(-1.9, 2.5, 0.0),0.4328308
(-2.0, 1.5, 0.0),0.4784609
(-0.9, 2.1, 0.0),0.4609427
(-0.2, 1.0, 0.0),0.3105062
(-0.4, 2.1, 0.0),0.3940738
(-0.8, 2.6, 0.0),0.3953996
(-1.3, 2.1, 0.0),0.4757545
(-1.7, 2.1, 0.0),0.4792981
(-0.5, 3.0, 0.0),0.3142963
(-0.7, 0.1, 0.0),0.2675098
(-2.2, 2.1, 0.0),0.4476675
(-1.4, 0.9, 0.0),0.4291614
(-0.4, 2.1, 0.0),0.3819655
(-1.2, 2.9, 0.0),0.3719075
(-1.4, 1.8, 0.0),0.4873912
(-1.1, 2.5, 0.0),0.4383073
(-0.8, 2.2, 0.0),0.4392203
(-1.8, 0.8, 0.0),0.4215177
(-0.8, 2.3, 0.0),0.4352303
(-1.2, 2.9, 0.0),0.3852338
(0.0, 0.8, 0.0),0.2723142
(-1.2, 1.8, 0.0),0.4797551
(-1.8, 1.9, 0.0),0.4837666
(-1.7, 3.0, 0.0),0.3493975
(-0.1, 2.1, 0.0),0.3293087
(-0.5, 3.3, 0.0),0.2521361
(-1.5, 1.6, 0.0),0.4882101
(-1.4, 2.3, 0.0),0.4672215
(-0.2, 2.4, 0.0),0.338668
(-1.1, 2.4, 0.0),0.4450801
(-0.8, 0.4, 0.0),0.3107749
(-1.2, 0.8, 0.0),0.4016315
(-0.1, 2.0, 0.0),0.341604
(-0.9, 3.0, 0.0),0.3516758
(-1.0, 2.0, 0.0),0.4638157
(-1.4, 2.2, 0.0),0.4773161
(-0.6, 1.7, 0.0),0.4152046
(-0.4, 0.3, 0.0),0.2543288
(-1.1, 2.2, 0.0),0.4627798
(-1.1, 1.1, 0.0),0.4399207
(-1.3, 2.6, 0.0),0.4238468
(-1.1, 1.4, 0.0),0.4609353
(-1.2, 1.3, 0.0),0.4600028
(-0.2, 2.6, 0.0),0.3129756
(-1.5, 2.5, 0.0),0.4379634
(-1.3, 1.0, 0.0),0.4364181
(-1.8, 2.1, 0.0),0.4732977
(-1.2, 2.5, 0.0),0.4442124
(-1.1, 2.3, 0.0),0.45503
(-1.2, 0.6, 0.0),0.3810167
(-1.1, 3.3, 0.0),0.2894784
(-1.5, 2.5, 0.0),0.442415
(-0.4, 3.0, 0.0),0.2941245
