Time,X,Y,Z,Viewazimuth,ViewElevation
2.171314,-1.19,2.198228,-2.38,0,0
2.273266,-1.19,2.15,-2.38,0,0
2.377444,-1.19,2.15,-2.38,0,0
2.479398,-1.19,2.15,-2.38,0,0
2.57967,-1.19,2.15,-2.38,350.6139,2.537965
2.681328,-1.19,2.15,-2.38,331.2678,8.255472
2.782789,-1.19,2.15,-2.38,329.1992,8.418128
2.887878,-1.19,2.15,-2.38,329.1992,8.418128
2.988164,-1.19,2.15,-2.38,307.3715,13.0203
3.091528,-1.19,2.15,-2.38,261.3974,19.4272
3.194566,-1.19,2.15,-2.38,261.3974,19.4272
3.297777,-1.19,2.15,-2.38,261.3974,19.4272
3.400459,-1.19,2.15,-2.38,237.7748,12.16572
3.50653,-1.19,2.15,-2.38,233.4827,10.96839
3.610652,-1.19,2.15,-2.38,230.4227,10.96839
3.712644,-1.19,2.15,-2.38,230.2159,10.96839
3.816954,-1.249288,2.15,-2.43196,228.4254,10.96839
3.922283,-1.427642,2.15,-2.597872,226.0642,13.02566
4.022955,-1.660507,2.15,-2.918565,223.9883,13.691
4.125899,-1.856817,2.15,-3.434862,223.7927,13.691
4.226793,-1.960907,2.15,-4.05249,229.6275,9.885539
4.330732,-2.074501,2.15,-4.769117,235.8185,9.885539
4.434543,-2.220024,2.15,-5.475285,238.2996,9.885539
4.540732,-2.451708,2.15,-6.169308,255.5185,8.696356
4.643014,-2.92953,2.15,-6.327438,274.2554,7.482975
4.743588,-3.466368,2.15,-6.515866,275.9963,7.482975
4.84558,-3.987601,2.15,-6.535148,276.4652,7.482975
4.950099,-4.504111,2.15,-6.471906,280.5823,6.68491
5.054816,-4.904252,2.15,-6.360884,286.7552,6.254063
5.157903,-5.12387,2.15,-6.222959,286.7552,6.254063
5.259493,-5.184659,2.15,-6.110979,286.7552,6.254063
5.360914,-5.230279,2.15,-6.097717,286.0852,6.722838
5.462491,-5.421818,2.15,-6.045784,283.5835,7.547931
5.563052,-5.764395,2.15,-5.967496,282.5471,7.547932
5.664614,-6.227025,2.15,-5.796853,282.3544,7.547932
5.767114,-6.70829,2.15,-5.604728,282.3544,7.547932
5.867234,-7.122762,2.15,-5.501281,282.3544,7.547932
5.96868,-7.383222,2.15,-5.387383,282.3544,7.547932
6.072837,-7.571834,2.15,-5.346071,282.3544,7.751435
6.172984,-7.868709,2.15,-5.266881,282.3544,7.958423
6.274992,-8.134472,2.15,-5.064118,282.3544,7.958423
6.377958,-8.234526,2.15,-4.743918,282.3544,7.958423
6.478283,-8.3595,2.15,-4.485608,282.3544,7.958423
6.587594,-8.392746,2.15,-4.27599,282.3544,7.958423
6.690183,-8.550951,2.15,-4.188892,282.3544,7.958423
6.79071,-8.837287,2.15,-4.126176,282.3544,7.958423
6.893537,-9.034296,2.15,-4.083025,282.3544,7.958423
6.997017,-9.082692,2.15,-4.072425,282.3544,7.958423
7.098917,-9.188745,2.15,-4.049196,282.3544,7.958423
7.202923,-9.450795,2.15,-3.991799,282.3544,7.958423
7.306568,-9.854266,2.15,-3.903427,282.3544,7.958423
7.411801,-10.05426,2.15,-3.859622,282.3544,7.958423
7.513234,-10.05426,2.15,-3.859622,282.3544,7.958423
7.613961,-10.05426,2.15,-3.859622,282.3544,7.958423
7.721771,-10.05426,2.15,-3.859622,282.3544,7.958423
7.824526,-10.05871,2.15,-3.941998,282.3544,7.958423
7.925493,-10.08283,2.15,-4.204331,282.3544,7.958423
8.027581,-10.20773,2.15,-4.655827,282.3544,7.958423
8.131097,-10.32414,2.15,-5.172973,282.3544,7.958423
8.231909,-10.33009,2.15,-5.200961,283.6738,7.700959
8.332986,-10.26347,2.15,-5.013785,297.208,6.831571
8.43759,-10.06909,2.15,-4.695457,302.9674,6.83157
8.538021,-9.803278,2.15,-4.291409,303.4276,6.831573
8.643023,-9.700348,2.15,-4.13547,303.4276,6.831573
8.747601,-9.79205,2.15,-4.2744,303.4276,6.831573
8.849127,-9.964454,2.15,-4.535589,303.4276,6.831573
8.951725,-10.22511,2.15,-4.930479,303.4276,6.831573
9.054702,-10.51281,2.15,-5.36635,303.4276,6.831573
9.15784,-10.49154,2.15,-5.334116,303.4276,6.831573
9.263716,-10.36566,2.15,-5.143409,303.4276,6.831573
9.363876,-10.16007,2.15,-4.83195,303.4276,6.831573
9.469311,-10.07808,2.15,-4.707731,303.4276,6.831573
9.57482,-10.17827,2.15,-4.859518,303.4276,6.831573
9.675228,-10.32676,2.15,-5.132408,282.6444,14.15202
9.782677,-10.34979,2.15,-5.255739,272.4786,15.02315
9.890916,-10.34604,2.15,-5.062679,270.7014,15.30758
9.997947,-10.30471,2.15,-4.819619,285.5032,10.5494
10.10055,-10.25466,2.15,-4.773703,295.2179,6.383557
10.21022,-10.37466,2.15,-4.856371,296.2112,7.283521
10.31364,-10.86265,2.15,-4.92105,269.2603,24.62609
10.41722,-11.30931,2.15,-5.341814,250.6615,28.42558
10.51812,-11.64392,2.15,-5.512412,251.7545,28.42558
10.61814,-11.96961,2.15,-5.512412,253.1083,28.25161
10.71989,-12.36831,2.15,-5.520447,265.1326,22.37092
10.82224,-12.86444,2.15,-5.521159,277.365,19.16632
10.92485,-13.20529,2.15,-5.324653,288.605,16.52799
11.02496,-13.29133,2.15,-4.988527,307.3754,7.142789
11.1278,-13.06188,2.15,-4.624197,314.6393,4.419297
11.22927,-12.73402,2.15,-4.283635,313.8146,4.419297
11.33558,-12.50042,2.15,-4.040171,313.8146,4.419297
11.43886,-12.3668,2.15,-3.933314,333.6917,7.240681
11.54459,-12.33596,2.15,-3.919333,337.6062,7.793561
11.65127,-12.22463,2.15,-3.860544,337.9003,8.133922
11.75749,-12.18584,2.15,-3.846977,335.6035,13.11189
11.86292,-12.12768,2.15,-3.82813,337.659,15.90005
11.96905,-11.85393,2.15,-3.601415,337.659,17.21957
12.08403,-11.81036,2.15,-3.473626,318.9992,25.4744
12.19881,-11.81036,2.15,-3.473626,313.1803,25.4744
12.30454,-11.81036,2.15,-3.473626,312.4593,25.4744
12.42157,-11.81036,2.15,-3.473626,312.4593,25.4744
12.5244,-11.81036,2.15,-3.473626,312.4593,25.4744
12.63314,-11.81036,2.15,-3.473626,312.4593,25.4744
12.73784,-11.81036,2.15,-3.473626,312.4593,25.4744
12.84101,-11.83405,2.15,-3.525148,312.4593,25.4744
12.94401,-12.11038,2.15,-3.786786,312.878,25.4744
13.04839,-12.83598,2.15,-3.866685,312.878,25.4744
13.15677,-13.40666,2.15,-3.874543,314.383,25.09816
13.26506,-13.49577,2.15,-3.874543,340.9166,18.21119
13.36908,-13.33444,2.15,-3.874543,348.0884,17.38258
13.47171,-12.94112,2.15,-3.874543,356.7854,16.1989
13.57454,-12.40226,2.15,-3.885768,12.93059,13.18805
13.67823,-11.84536,2.15,-3.616109,16.14621,12.87858
13.78308,-11.80808,2.15,-3.505246,11.11763,15.04413
13.89706,-11.80808,2.15,-3.505246,348.541,17.5735
14.00809,-11.80808,2.15,-3.505246,330.4086,23.19469
14.113,-11.80808,2.15,-3.505246,329.7599,23.19469
14.21574,-11.80808,2.15,-3.505246,329.7599,23.19469
14.32597,-11.80808,2.15,-3.505246,313.1353,33.71214
14.43089,-11.99547,2.15,-3.713713,247.7026,44.62387
14.53453,-12.36491,2.15,-4.153533,237.3478,44.05888
14.63509,-12.58335,2.15,-4.738074,235.5633,43.88504
14.73813,-12.7799,2.15,-5.411091,246.6559,36.56591
14.84101,-13.15619,2.15,-5.526274,257.3473,32.8652
