Time,X,Y,Z,Viewazimuth,ViewElevation
13.99734,-1.19,1.713228,-2.38,80.00001,90
14.12241,-1.19,1.165,-2.38,80.00001,90
14.23739,-1.19,1.165,-2.38,80.00001,90
14.37166,-1.19,1.165,-2.38,80.00001,90
14.4799,-1.19,1.165,-2.38,79.31835,88.99712
14.58169,-1.19,1.165,-2.38,59.75025,87.15745
14.68879,-1.19,1.165,-2.38,38.11611,90
14.79363,-1.19,1.165,-2.38,3.474914,82.33238
14.89415,-1.19,1.165,-2.38,344.1444,64.15088
14.99581,-1.19,1.165,-2.38,332.4125,42.35804
15.09604,-1.19,1.165,-2.38,326.215,22.82713
15.19993,-1.19,1.165,-2.38,325.0544,14.76007
15.30417,-1.19,1.165,-2.38,326.9701,11.49038
15.4061,-1.19,1.165,-2.38,335.2071,7.875367
15.51152,-1.19,1.165,-2.38,351.0081,1.590118
15.61696,-1.19,1.165,-2.38,0.1424654,355.4257
15.71809,-1.19,1.165,-2.38,0.6396534,351.6579
15.8188,-1.19,1.165,-2.38,0.3860295,351.4043
15.92383,-1.189904,1.165,-2.365803,0.3860295,351.4043
16.02446,-1.189262,1.165,-2.232564,0.1844455,351.4043
16.12849,-1.188307,1.165,-1.935718,0.1844455,351.4043
16.23152,-1.187119,1.165,-1.566879,0.1844455,354.6805
16.3351,-1.204069,1.165,-1.344189,0.7382454,356.0563
16.43518,-1.351764,1.165,-1.276783,2.761518,358.9155
16.53683,-1.598606,1.165,-1.25919,6.154513,4.016062
16.70591,-1.713287,1.165,-1.245804,39.55465,60.99
16.80993,-1.713287,1.165,-1.245804,47.52852,69.02716
16.91599,-1.737033,1.165,-1.258354,85.19751,83.3511
17.01667,-1.737033,1.165,-1.258354,127.7523,86.55963
17.14065,-1.737033,1.165,-1.258354,136.4776,81.52106
17.24298,-1.737033,1.165,-1.258354,136.4776,69.85474
17.34438,-1.737033,1.165,-1.258354,137.5077,53.86672
17.4488,-1.737033,1.165,-1.258354,140.0359,45.28807
17.55535,-1.737033,1.165,-1.258354,141.6515,40.812
17.65814,-1.737033,1.165,-1.258354,143.5326,29.92407
17.75867,-1.737033,1.165,-1.258354,159.9921,18.85483
17.86119,-1.718601,1.165,-1.331118,166.0035,16.2435
17.96675,-1.66034,1.165,-1.564849,166.0035,16.2435
18.07143,-1.576063,1.165,-1.961476,173.5287,13.89661
18.17169,-1.565088,1.165,-2.454707,183.8183,11.18115
18.27502,-1.630564,1.165,-2.853116,191.9913,19.95366
18.52968,-1.674816,1.165,-3.061463,191.9913,19.95366
18.63,-1.674816,1.165,-3.061463,192.2199,19.95366
18.73258,-1.674816,1.165,-3.061463,192.4663,19.95366
18.83541,-1.674816,1.165,-3.061463,194.328,14.8697
18.93551,-1.674816,1.165,-3.061463,197.3769,8.966294
