Time,X,Y,Z,Viewazimuth,ViewElevation
14.23263,-1.19,1.713228,-2.38,0,0
14.33833,-1.19,1.165,-2.38,0,0
14.44324,-1.19,1.165,-2.38,0,0
14.54404,-1.19,1.165,-2.38,0,0
14.6441,-1.19,1.165,-2.38,0,0
14.88746,-1.19,1.165,-2.38,0,0
14.98847,-1.19,1.165,-2.38,0,0
15.09107,-1.19,1.165,-2.38,0,0
15.19307,-1.19,1.165,-2.38,0,0
15.29381,-1.19,1.165,-2.38,0,0
15.39781,-1.19,1.165,-2.38,0,0
15.4987,-1.19,1.165,-2.38,0,0
15.60031,-1.19,1.165,-2.38,0,0
15.70468,-1.19,1.165,-2.38,0,0
15.80882,-1.19,1.165,-2.38,0,0
15.91316,-1.19,1.165,-2.38,352.6487,356.9044
16.01429,-1.19,1.165,-2.38,7.03318,351.8086
16.11787,-1.19,1.165,-2.38,4.612005,0.9683681
16.22838,-1.19,1.165,-2.38,3.001257,2.265785
16.32877,-1.19,1.165,-2.38,2.653081,2.265785
16.42924,-1.19,1.165,-2.38,2.653081,2.265785
16.52968,-1.19,1.165,-2.38,2.653081,2.265785
16.63083,-1.19,1.165,-2.38,2.653081,2.265785
16.73441,-1.19,1.165,-2.38,2.653081,2.265785
16.83543,-1.19,1.165,-2.38,2.653081,2.265785
16.93585,-1.19,1.165,-2.38,2.653081,2.265785
17.0385,-1.19,1.165,-2.38,2.653081,2.265785
17.14051,-1.19,1.165,-2.38,2.653081,2.265785
17.24314,-1.19,1.165,-2.38,2.653081,2.265785
17.345,-1.19,1.165,-2.38,2.653081,2.265785
17.44664,-1.19,1.165,-2.38,2.653081,2.265785
17.70078,-1.19,1.165,-2.38,2.653081,2.265785
17.80375,-1.19,1.165,-2.38,2.653081,2.265785
17.90591,-1.19,1.165,-2.38,2.653081,2.265785
18.01401,-1.19,1.165,-2.38,2.653081,2.265785
18.1147,-1.19,1.165,-2.38,2.653081,2.265785
18.21658,-1.19,1.165,-2.38,2.653081,2.265785
18.33177,-1.19,1.165,-2.38,2.653081,2.265785
18.43569,-1.19,1.165,-2.38,2.653081,2.265785
18.53775,-1.19,1.165,-2.38,2.653081,2.265785
18.64071,-1.19,1.165,-2.38,2.653081,2.265785
18.74226,-1.19,1.165,-2.38,2.653081,2.265785
18.84287,-1.19,1.165,-2.38,2.653081,2.265785
18.94441,-1.19,1.165,-2.38,2.653081,2.265785
19.04457,-1.19,1.165,-2.38,2.653081,2.265785
19.14801,-1.19,1.165,-2.38,352.0567,4.195753
19.24931,-1.19,1.165,-2.38,336.9165,356.3318
19.35314,-1.19,1.165,-2.38,344.7258,351.8745
19.45484,-1.19,1.165,-2.38,344.7258,351.8745
19.55516,-1.19,1.165,-2.38,344.7258,351.8745
19.65615,-1.19,1.165,-2.38,337.1748,351.6577
19.7648,-1.19,1.165,-2.38,304.599,316.5743
19.86501,-1.19,1.165,-2.38,303.2858,312.5409
19.96554,-1.19,1.165,-2.38,298.6316,317.1697
20.06668,-1.19,1.165,-2.38,295.1461,320.1528
20.16706,-1.19,1.165,-2.38,294.8178,320.1528
20.26863,-1.19,1.165,-2.38,294.8178,320.1528
20.44765,-1.19,1.165,-2.38,294.8178,320.1528
20.566,-1.19,1.165,-2.38,294.8178,320.1528
20.66786,-1.19,1.165,-2.38,294.8178,320.1528
20.77077,-1.19,1.165,-2.38,294.8178,320.1528
20.8711,-1.19,1.165,-2.38,294.8178,320.1528
20.98082,-1.19,1.165,-2.38,294.8178,320.1528
21.08962,-1.19,1.165,-2.38,294.8178,320.1528
21.19711,-1.19,1.165,-2.38,294.8178,320.1528
21.30498,-1.19,1.165,-2.38,294.8178,320.1528
21.40906,-1.19,1.165,-2.38,294.8178,320.1528
21.52477,-1.19,1.165,-2.38,294.8178,320.1528
21.63446,-1.19,1.165,-2.38,294.8178,320.1528
21.74336,-1.19,1.165,-2.38,294.8178,320.1528
21.85278,-1.19,1.165,-2.38,294.8178,320.1528
21.95343,-1.19,1.165,-2.38,294.8178,320.1528
22.05586,-1.19,1.165,-2.38,294.8178,320.1528
22.16086,-1.19,1.165,-2.38,294.8178,320.1528
22.26572,-1.19,1.165,-2.38,294.8178,320.1528
22.37213,-1.19,1.165,-2.38,294.8178,320.1528
22.47479,-1.19,1.165,-2.38,294.8178,320.1528
22.58198,-1.19,1.165,-2.38,294.8178,320.1528
22.6896,-1.19,1.165,-2.38,294.8178,320.1528
22.79698,-1.19,1.165,-2.38,294.8178,320.1528
22.90028,-1.19,1.165,-2.38,294.8178,320.1528
23.00214,-1.19,1.165,-2.38,294.8178,320.1528
23.10844,-1.19,1.165,-2.38,294.8178,320.1528
23.21032,-1.19,1.165,-2.38,294.8178,320.1528
23.31932,-1.19,1.165,-2.38,294.8178,320.1528
23.42604,-1.19,1.165,-2.38,294.8178,320.1528
23.5285,-1.19,1.165,-2.38,294.8178,320.1528
23.63095,-1.19,1.165,-2.38,294.8178,320.1528
23.73625,-1.19,1.165,-2.38,294.8178,320.1528
23.83897,-1.19,1.165,-2.38,294.8178,320.1528
23.94051,-1.19,1.165,-2.38,294.8178,320.1528
24.04375,-1.19,1.165,-2.38,294.8178,320.1528
24.14697,-1.19,1.165,-2.38,294.8178,320.1528
24.25776,-1.19,1.165,-2.38,294.8178,320.1528
24.35924,-1.19,1.165,-2.38,294.8178,320.1528
24.46475,-1.19,1.165,-2.38,294.8178,320.1528
24.5738,-1.19,1.165,-2.38,294.8178,320.1528
24.67958,-1.19,1.165,-2.38,294.8178,320.1528
24.78033,-1.19,1.165,-2.38,294.8178,320.1528
24.88345,-1.19,1.165,-2.38,294.8178,320.1528
24.98558,-1.19,1.165,-2.38,294.8178,320.1528
25.09289,-1.19,1.165,-2.38,294.8178,320.1528
25.19455,-1.19,1.165,-2.38,294.8178,320.1528
25.30235,-1.19,1.165,-2.38,294.8178,320.1528
25.41087,-1.19,1.165,-2.38,294.8178,320.1528
25.51369,-1.19,1.165,-2.38,294.8178,320.1528
25.61369,-1.19,1.165,-2.38,294.8178,320.1528
25.71733,-1.19,1.165,-2.38,294.8178,320.1528
25.82348,-1.19,1.165,-2.38,294.8178,320.1528
25.92636,-1.19,1.165,-2.38,294.8178,320.1528
26.0333,-1.19,1.165,-2.38,294.8178,320.1528
26.13384,-1.19,1.165,-2.38,294.8178,320.1528
26.2396,-1.19,1.165,-2.38,294.8178,320.1528
26.34298,-1.19,1.165,-2.38,294.8178,320.1528
26.44842,-1.19,1.165,-2.38,294.8178,320.1528
26.54875,-1.19,1.165,-2.38,294.8178,320.1528
26.6528,-1.19,1.165,-2.38,294.8178,320.1528
26.76278,-1.19,1.165,-2.38,294.8178,320.1528
26.86304,-1.19,1.165,-2.38,294.8178,320.1528
26.97353,-1.19,1.165,-2.38,294.8178,320.1528
27.07456,-1.19,1.165,-2.38,294.8178,320.1528
27.18395,-1.19,1.165,-2.38,294.8178,320.1528
27.29464,-1.19,1.165,-2.38,294.8178,320.1528
27.40295,-1.19,1.165,-2.38,294.8178,320.1528
27.50393,-1.19,1.165,-2.38,294.8178,320.1528
27.61112,-1.19,1.165,-2.38,294.8178,320.1528
27.71963,-1.19,1.165,-2.38,294.8178,320.1528
27.83046,-1.19,1.165,-2.38,294.8178,320.1528
27.93131,-1.19,1.165,-2.38,294.8178,320.1528
28.0348,-1.19,1.165,-2.38,294.8178,320.1528
28.14169,-1.19,1.165,-2.38,294.8178,320.1528
28.24752,-1.19,1.165,-2.38,294.8178,320.1528
28.35621,-1.19,1.165,-2.38,294.8178,320.1528
28.45728,-1.19,1.165,-2.38,294.8178,320.1528
28.56301,-1.19,1.165,-2.38,294.8178,320.1528
28.66947,-1.19,1.165,-2.38,294.8178,320.1528
28.77803,-1.19,1.165,-2.38,294.8178,320.1528
28.88235,-1.19,1.165,-2.38,294.8178,320.1528
28.9864,-1.19,1.165,-2.38,294.8178,320.1528
