Time,X,Y,Z,Viewazimuth,ViewElevation
13.13813,-12.91591,2.863542,-10.56224,123.3128,31.90155
13.23926,-12.24457,2.83479,-10.47574,123.3128,31.90155
13.34805,-11.73968,2.831203,-10.50308,123.3128,31.90155
13.45974,-11.10725,2.89,-10.72505,123.3128,31.90155
13.56775,-10.6449,2.889831,-11.02471,123.3128,31.90155
13.6762,-10.19313,2.865006,-11.32162,123.3128,31.90155
13.77985,-9.719892,2.89,-11.62612,122.6522,30.09758
13.88065,-9.307488,2.884567,-11.89039,122.6522,30.09758
13.98993,-8.893494,2.854991,-11.93112,8.185686,32.37564
14.09942,-9.304098,2.794566,-11.85432,247.9845,31.54825
14.20245,-9.788583,2.89,-12.05022,247.9845,31.54825
14.30639,-10.25068,2.882792,-12.23707,247.9845,31.54825
14.45955,-10.77163,2.86464,-12.44771,348.5572,341.2619
14.57661,-10.42705,2.89,-12.0276,93.94297,308.3576
14.67859,-9.998174,2.880014,-12.34141,147.6224,307.6286
14.78387,-9.718934,2.856467,-12.82392,151.1998,307.6286
14.88711,-9.463601,2.756509,-13.21891,148.407,310.717
14.99019,-9.16715,2.544121,-13.22344,149.913,334.6695
15.09304,-8.976512,2.237009,-13.22345,165.7656,326.1871
15.20233,-8.870232,2.15,-13.22345,169.3816,325.1427
15.30712,-8.770947,2.15,-13.22344,169.3816,325.1427
15.41603,-8.690052,2.15,-13.22344,177.1718,324.4616
15.53722,-8.939071,2.15,-13.25875,274.7163,335.3468
15.64051,-9.484007,2.15,-13.14862,287.7617,338.7384
15.75029,-9.780311,2.15,-13.05371,287.7617,338.7384
15.85274,-9.897397,2.15,-13.0162,287.7617,338.7384
15.95285,-9.916823,2.15,-13.00998,344.4724,351.88
16.05662,-9.916823,2.15,-13.00998,55.0593,29.52358
16.16173,-9.916823,2.15,-13.00998,57.81083,35.78654
16.26706,-9.916823,2.15,-13.00998,57.81083,35.78654
16.37144,-9.916823,2.15,-13.00998,57.81083,35.78654
16.47874,-9.916823,2.15,-13.00998,24.15592,5.696475
16.58259,-9.916823,2.15,-13.00998,22.28513,4.467391
16.68317,-9.916823,2.15,-13.00998,32.35584,5.334731
16.79341,-9.907982,2.15,-13.00092,44.84006,11.44085
16.89792,-9.808354,2.15,-12.90651,47.60289,12.22509
17.00204,-9.581587,2.15,-12.7121,49.80821,12.22509
17.11512,-9.287032,2.55949,-12.46325,49.80821,12.22509
