(-4.2, 1.3, -9.1)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-4.5, 1.3, -9.1)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-4.6, 1.3, -9.1)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-4.6, 1.3, -9.1)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-4.6, 1.3, -9.1)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-4.6, 1.3, -9.1)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-4.6, 1.3, -9.1)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-4.6, 1.3, -9.1)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-4.6, 1.3, -9.1)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-4.6, 1.3, -9.1)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-4.6, 1.3, -9.1)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-4.6, 1.3, -9.1)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-4.6, 1.3, -9.1)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-4.6, 1.3, -9.1)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-4.6, 1.3, -9.1)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-4.6, 1.3, -9.1)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-4.6, 1.3, -9.1)
